Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Cicero					De Fato								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,054	stoa0087-stoa010	474.54	none			``	n.a.		
Cicero					De Finibus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,048	stoa0087-stoa011	474.48	none			``	n.a.		
Cicero					De Gloria								new collection	none	none	474.70x06	none			``	N.A.		
Cicero					De Haruspicum Responso								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,021	stoa0087-stoa012	474.21	none	57BCE		``	n.a.		
Cicero					De Inventione								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,036	stoa0087-stoa014	474.36	none			``	n.a.		
Cicero					De Iure Civili in Artem Redigendo								new collection	none	none	474.67	none			``	n.a.		
Cicero					De Lege Agraria								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,011	stoa0087-stoa015	474.11	none	63BCE		``	n.a.		
Cicero					De Legibus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,044	stoa0087-stoa016	474.44	none			``	n.a.		
Cicero					De Natura Deorum								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,050	stoa0087-stoa017	474.50	none			``	n.a.		
Cicero					De Officiis								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,055	stoa0087-stoa018	474.55	none			``	n.a.		
Cicero					De Optimo Genere Oratorum								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,041	stoa0087-stoa019	474.41	none			``	n.a.		
Cicero					De Oratore								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,037	stoa0087-stoa020	474.37	none	55BCE		``	n.a.		
Cicero					De Partitione Oratoria								new collection	none	stoa0087-stoa021	474.38	none			``	n.a.		
Cicero					De Provinciis Consularibus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,025	stoa0087-stoa022	474.25	none	56BCE		``	n.a.		
Cicero					De Prosciptorum Liberis								new collection	none	none	474.68x11	none			``	n.a.		
Cicero					De Rege Alexandrino								new collection	none	none	474.68x15	none			``	``		
Cicero					De Republica								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,043	stoa0087-stoa023	474.43	none			``	n.a.		
Cicero					De Virtutibus								new collection	none	none	474.70x09	none						
Cicero					Elegia Talemastis								new collection	none	none	474.62x10	none			``	n.a.		
Cicero					Epigrammata								new collection	none	none	474.62x11	none			``	n.a.		
Cicero					Epistula ad Octavianum [sp.]								new collection	none	none	474.75	none			``	n.a.		
Cicero					Epistulae ad Atticum								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,057	stoa0087-stoa024	474.57	none	68BCE-43BCE		``	n.a.		
Cicero					Epistulae ad Brutum								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,059	stoa0087-stoa025	474.59	none	43BCE		``	n.a.		
Cicero					Epistulae ad Familiares								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,056	stoa0087-stoa026	474.56	none	62BCE-43BCE		``	n.a.		
Cicero					Epistulae ad Quintum Fratrem								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,058	stoa0087-stoa027	474.58	none	59BCE-54BCE		``	n.a.		
Cicero					Ex Aeschlyi								new collection	none	none	474.62x03	none			``	n.a.		
Cicero					Ex Euripidis								new collection	none	none	474.62x05	none			``	n.a.		
Cicero					Ex Iliade								new collection	none	none	474.62x01	none			``	``		
Cicero					Ex Odyssea								new collection	none	none	474.62x02	none						
Cicero					Ex Sophoclis								new collection	none	none	474.62x04	none						
Cicero					Facete Dicta								new collection	none	none	474.61	none			``	n.a.		
Cicero					Fragmenta Epistularum								new collection	none	none	474.64	none			``	n.a.		
Cicero					Fragmenta Librorum Incertorum								new collection	none	none	474.66							
Cicero					Hortensius								new collection	none	none	474.65	none			``	n.a.		
Cicero					In Catilinam								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,013	stoa0087-stoa029	474.13	none	63BCE		``	n.a.		
Cicero					in P. Clodium et C. Curionem 								new collection	none	none	474.68x13	none			``	n.a.		
Cicero					In Pisonem								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,027	stoa0087-stoa030	474.27	none	55BCE		``	n.a.		
Cicero					In Q. Caecilium (In Caecilium)								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,004	stoa0087-stoa028	474.4	none	70BCE		``	n.a.		
Cicero					In Sallustium [sp.]								new collection	none	none	474.74	none			``	n.a.		
Cicero					In Toga Candida								new collection	none	none	474.68x09	none			``	n.a		
Cicero					In Vatinium								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,023	stoa0087-stoa031	474.23	none	56BCE		``	n.a.		
Cicero					In Verrem								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,005	stoa0087-stoa032	474.5	none	70BCE		``	n.a.		
Cicero					Incertarum Oratorum Fragmenta								new collection	none	none	474.69	none			``	n.a.		
Cicero					Interrogatio de aere alieno Milonis								new collection	none	none	474.68x14	none			``	n.a.		
Cicero					Laelius de Amicitia								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,052	stoa0087-stoa033	474.52	none			``	n.a.		
Cicero					Limon								new collection	none	none	474.62x07	none						
Cicero					Lucullus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,046	none	474.46	none			``	n.a.		
Cicero					Marius								new collection	none	none	474.62x08	none			``	n.a.		
Cicero					Ad Caesarem de Expeditione Brittanica								new collection	none	none	474.62x09	none			``	n.a.		
Cicero					Oeconomicus								new collection	none	none	474.70x01							
Cicero					Orator								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,040	stoa0087-stoa034	474.40	none			``	n.a.		
Cicero					Paradoxa Stoicorum								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,047	stoa0087-stoa035	474.47	none			``	n.a.		
Cicero					Philippicae/ Phillipics								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,035	stoa0087-stoa036	474.35	none	44BCE		``	n.a.		
Cicero					Porciae Laudatio								none	none	none	474.70x05	none			```	``		
Cicero					Post Reditum ad Populum (Post Reditum ad Quirites)								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,018	stoa0087-stoa037	474.18	none	57BCE		``	n.a.		
Cicero					Post Reditum in Senatu								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,019	stoa0087-stoa038	474.19	none	57BCE		``	n.a.		
Cicero					Pro Archia								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,016	stoa0087-stoa039	474.16	none	62BCE		``	n.a.		
Cicero					Pro Balbo								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,026	stoa0087-stoa040	474.26	none	56BCE		``	n.a.		
Cicero					pro C. Fundanio								new collection	none	none	474.68x05	none	?		``	n.a.		
Cicero					Pro C. Manilio								new collection	none	none	474.68x04	none	?		``	n.a.		
Cicero					Pro Caecina								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,008	stoa0087-stoa041	474.8	none	69BCE		``	n.a.		
Cicero					Pro Caelio								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,024	stoa0087-stoa042	474.24	none	56BCE		``	n.a.		
Cicero					Pro Cluentio								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,010	stoa0087-stoa043	474.10	none	66BCE		``	n.a.		
Cicero					Pro Cornelio								Part of Perseus 4.0 and new collection	none	none	474.68x07	none	?		``	``		
Cicero					Pro Flacco								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,017	stoa0087-stoa045	474.17	none	59BCE		``	n.a.		
Cicero					Pro Fonteio								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,007	stoa0087-stoa046	474.7	none	69BCE		``	n.a.		
Cicero					Pro Lege Manilia (De Imperio Cn. Pompei)								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,009	stoa0087-stoa013	474.9	none	66BCE		``	n.a.		
Cicero					Pro Ligario								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,033	none (stoa0087-stoa047 is blank)	474.33	none	46BCE		``	n.a.		
Cicero					pro. L. Vareno								new collection	none	none	474.68x02	none	?		``	``		
Cicero					Pro Marcello								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,032	stoa0087-stoa048	474.32	none	46BCE		``	n.a.		
Cicero					Pro Milone								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,031	stoa0087-stoa049	474.31	none	52BCE		``	n.a.		
Cicero					Pro Murena								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,014	stoa0087-stoa050	474.14	none	63BCE		``	n.a.		
Cicero					Pro Negotiatoribus Achaeis								new collection	none	none	474.68x17	none			``	n.a.		
Cicero					Pro Oppio								new collection	none	none	474.68x03	none	?		``	n.a.		
Cicero					Pro P. Vatinio								new collection	none	none	474.68x16	none			``	n.a.		
Cicero					Pro Plancio								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,028	stoa0087-stoa051	474.28	none	54BCE		``	n.a.		
Cicero					Pro Q. Gallio								new collection	none	none	474.68x06	none	?		``	n.a.		
Cicero					Pro Q. Roscio Comoedo 								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,003	stoa0087-stoa055	474.3	none	77BCE		``	n.a.		
Cicero					Pro Quinctio 								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,001	stoa0087-stoa052	474.1	none	81BCE		``	n.a.		
Cicero					Pro Rabirio Perduellionis Reo								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,012	stoa0087-stoa053	474.12	none	63BCE		``	n.a.		
Cicero					Pro Rabirio Postumo								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,030	stoa0087-stoa054	474.30	none	54BCE		``	n.a.		
Cicero					Pro Rege Deiotaro (Pro Deiotaro)								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,034	stoa0087-stoa044	474.34	none	46BCE		``	n.a.		
Cicero					Pro S. Roscio Amerino								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,002	stoa0087-stoa056	474.2	none	80BCE		``	n.a.		
Cicero					Pro Scauro								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,029	stoa0087-stoa057	474.29	none	54BCE		``	n.a.		
Cicero					Pro Sestio								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,022	stoa0087-stoa058	474.22	none	56BCE		``	n.a.		
Cicero					Pro Sulla								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,015	stoa0087-stoa059	474.15	none	62BCE		``	n.a.		
Cicero					Pro Tullio								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0474,006	stoa0087-stoa060	474.6	none	71BCE		``	n.a.		
Cicero					Protagoras								new collection	none	none	474.70x02							
Cicero					Rhetorica ad Herennium [sp.]								new collection	none	stoa0344	474.73	none			``	n.a.		
Cicero					Somnium Scipionum								new collection	none	stoa0087-stoa060a	none	none			``	n.a.		
Cicero					Timaeus								Part of Perseus 4.0	none	stoa0087-stoa061	474.72	none			``	n.a.		
Cicero					Topica								new collection	Perseus:abo:phi,0474,042	stoa0087-stoa062	474.42	none			``	n.a.		
Cicero					Tusculanae Disputationes								Part of Perseus 4.0	Perseus:abo:phi,0474,049	stoa0087-stoa063	474.49	none			``	n.a.		
Cicero, Quintus Tullius					Carmina								new collection	none	none	478.2	none			yes	n.a.		
Cicero, Quintus Tullius					Commentariolum Petitionis								Part of Perseus 4.0	Perseus:abo:phi,0478,003	stoa0088-stoa001	478.3	none	70BCE-60BCE		``	n.a.		
Cillactor/Callicter					Epigrammata								new collection	none	none	none	0148.001			yes(dnb)	no	http://www.ancientlibrary.com/smith-bio/0579.html	
Cinaethon					Fragmenta								new collection	none	none	none	tlg-Cinaetho			yes (dnb)	need to enhance		
Cincius Alimentus					Historiae								new collection	none	none	none	2543.003			yes	n.a.		
Cineas					Fragmenta								new collection	none	none	none	2417.003			yes	need to enhance		
Cinesias					Fragmenta								new collection	none	none	none	0375.001			yes (dnb)	yes		
Cinna, C. Hevlius					Carmina								new collection	none	none	486.1	none			yes	n.a.		
Claudianus Epigrammaticus					Epigrammata								new collection	none	none	none	4057.001			yes(dnb)	n.a.	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Claudianus;rgn=full%20text;idno=acl3129.0001.001;didno=acl3129.0001.001;view=image;seq=780;page=root;size=s;frm=frameset;	
Claudianus, Claudius (Claudian)					Carmina Minora								Part of Perseus 4.0 and new collection	none	stoa0089-stoa001	none	none			yes	n.a.		
Claudianus, Claudius (Claudian)					Carmina Minorum Appendix Vel Spuria Vel Suspecta								new collection	none	stoa0089-stoa001a	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					De bello Gildonico								Part of Perseus 4.0 and new collection	none	stoa0089-stoa002	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					De bello gothico								Part of Perseus 4.0 and new collection	none	stoa0089-stoa003	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					De consulatu Stilichonis								Part of Perseus 4.0 and new collection	none	stoa0089-stoa004	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					De raptu Proserpinae								Part of Perseus 4.0 and new collection	none	stoa0089-stoa005	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					Epithalamium de nuptiis Honorii Augusti								Part of Perseus 4.0 and new collection	none	stoa0089-stoa006	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					Fescennina de Nuptiis Honorii Augusti								Part of Perseus 4.0 and new collection	none	stoa0089-stoa007	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					In Eutropium								Part of Perseus 4.0 and new collection	none	stoa0089-stoa008	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					In Rufinum								Part of Perseus 4.0 and new collection	none	stoa0089-stoa009	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					Panegyricus de tertio consulatu Honorii August								Part of Perseus 4.0 and new collection	none	stoa0089-stoa010	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					Panegyricus de quarto consulatu Honorii August								Part of Perseus 4.0 and new collection	none	stoa0089-stoa011	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					Panegyricus de sexto consulatu Honorii Augusti								Part of Perseus 4.0 and new collection	none	stoa0089-stoa012	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					Panegyricus dictus Manlio Theodoro consuli								Part of Perseus 4.0 and new collection	none	stoa0089-stoa013	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					Panegyricus dictus Probino et Olybrio consulibus								Part of Perseus 4.0 and new collection	none	stoa0089-stoa014	none	none			``	n.a.		
Claudianus, Claudius (Claudian)					Epigrammata								new collection	none	none	none	4056.001			yes	n.a.		
Claudianus, Claudius (Claudian) (attributed author)					Carmina Graeca								new collection	none	none	none	4056.001			``	``	Created a TLG identifier for this	
Claudius					Ad Lunam								new collection	none	stoa0090a-stoa001	none	none			no-STILL TO DO	no	No sources found so far	
Claudius Caecus, Appius					Sententiae								new collection	none	stoa0091-stoa001	4.1	none			yes	n.a.		
Claudius Quadrigarius, Quintus					Annales								new collection	none	none	624.1	none			yes	n.a.		
Claudius, Imperator					Historia								new collection	none	stoa0090-stoa002	none	none			yes	n.a.		Created a work identifier for this
Cleaenetus					Fragmenta								new collection	none	none	none	0332.001			yes(dnb)	yes		
Cleanthes					Fragmenta								new collection	none	none	none	1269.002			yes	yes		
Clearchus					Fragmenta								new collection	none	none	none	0432.001			yes (dnb)	yes		
Clearchus of Soli					Fragmenta								new collection	none	none	none	1270.001			yes	yes		
Cleobulina					Fragmenta								new collection	none	none	none	0244.001			yes(dnb)	no	http://www.ancientlibrary.com/smith-bio/0798.html	
